#{"t_start": 1772446784.5901537, "env_id": "None"}
r,l,t
207.921942,1479,530.996568
203.4675,1479,532.881467
221.779543,1479,533.962994
205.132648,1479,535.850957
189.59967,1479,537.704621
216.206219,1479,538.771177
235.895891,1479,540.622072
243.459366,1479,542.528067
200.401253,1479,544.404739
196.948076,1479,545.472413
217.56841,1479,547.466636
194.770394,1479,549.317359
168.433738,1479,551.234803
228.001895,1479,552.311692
221.048142,1479,554.205276
228.056454,1479,556.073384
202.403975,1479,557.143671
207.11078,1479,559.080101
236.292189,1479,561.027978
214.215361,1479,562.884127
219.47498,1479,563.9554
217.020323,1479,565.796732
235.35481,1479,567.658226
220.493283,1479,568.732046
264.758335,1479,570.683135
237.275044,1479,572.601557
244.946307,1479,574.498712
188.529245,1479,575.57417
249.532676,1479,577.456231
222.406568,1479,579.324876
231.282604,1479,581.164927
240.807888,1479,582.273673
290.678303,1479,584.159571
262.113942,1479,586.03377
260.948639,1479,587.105939
239.684935,1479,588.969071
207.866605,1479,590.854964
206.095625,1479,592.706097
186.317138,1479,593.782433
202.859492,1479,595.60218
230.574075,1479,597.483066
236.116335,1479,598.549782
254.063374,1479,600.459906
224.794457,1479,602.359437
250.276911,1479,604.203424
267.252281,1479,605.278537
264.555642,1479,607.144326
257.832647,1479,609.003543
223.72674,1479,610.903146
239.048482,1479,612.024124
218.785179,1479,613.877542
227.082411,1479,615.823656
206.708901,1479,616.900045
268.915515,1479,618.771683
191.391032,1479,620.583075
290.138524,1479,622.56179
241.243102,1479,623.624532
260.128501,1479,625.516706
282.296926,1479,627.670094
240.403295,1479,628.749133
237.244165,1479,630.780914
235.884587,1479,632.798376
248.837579,1479,634.875173
263.329357,1479,635.941187
272.263999,1479,637.747685
229.037682,1479,639.631352
250.202872,1479,641.418708
220.722231,1479,642.512585
221.429876,1479,644.321868
266.282334,1479,646.167281
222.856556,1479,647.237096
266.336075,1479,649.033337
262.599101,1479,1138.426198
254.698383,1479,1140.674024
273.549273,1479,1141.877516
270.718459,1479,1143.839569
250.239809,1479,1145.728676
224.128464,1479,1146.857162
241.136615,1479,1149.560293
228.85058,1479,1153.69729
262.714586,1479,1157.808944
266.023326,1479,1939.475985
289.41376,1479,15867.143781
232.963942,1479,15872.869127
275.002218,1479,21931.029791
297.155457,1479,21933.98195
256.99258,1479,21938.595944
266.053108,1479,21942.853184
280.175105,1479,21945.07859
279.273404,1479,21948.989956
266.428744,1479,21952.820293
273.554722,1479,21957.355996
271.349579,1479,21960.033927
306.516039,1479,21963.909025
281.102736,1479,21967.708191
241.031532,1479,21969.813891
279.184104,1479,21973.649748
214.283432,1479,21977.461562
221.386257,1479,21981.183729
251.786173,1479,21983.292121
217.629784,1479,21987.130348
261.166199,1479,21990.93196
255.567167,1479,21994.660321
274.163793,1479,21996.743325
248.607703,1479,22000.481425
266.668736,1479,22004.206227
288.544115,1479,22006.28781
273.486152,1479,22010.066226
254.97361,1479,22013.79168
283.267093,1479,22017.959661
262.715882,1479,22020.168931
231.35865,1479,22024.358372
243.264549,1479,22029.178125
234.330424,1479,22032.697697
221.967638,1479,22037.633379
225.831829,1479,22041.141352
250.498608,1479,22044.86641
178.789689,1479,22047.611441
255.07481,1479,22052.621785
